Wall time,Step,Value
1712651703.341629,8192,-80.775146484375
1712651708.7406287,16384,-71.04413604736328
1712651714.0204148,24576,-63.693241119384766
1712651719.3369448,32768,-49.59935760498047
1712651724.4825106,40960,-41.9397087097168
1712651729.7424572,49152,-23.88485336303711
1712651734.9656687,57344,-17.974857330322266
1712651740.0921845,65536,-12.240361213684082
1712651745.5028722,73728,-11.52163314819336
1712651750.7038155,81920,-10.513579368591309
1712651755.985756,90112,-10.038503646850586
1712651761.10295,98304,-9.72548770904541
1712651766.3021495,106496,-7.704424858093262
1712651771.458848,114688,-7.192772388458252
1712651776.7374854,122880,-6.690434455871582
1712651781.767652,131072,-7.160421371459961
1712651786.830475,139264,-6.280008316040039
1712651792.010254,147456,-5.709483623504639
1712651797.183724,155648,-6.417773246765137
1712651802.274834,163840,-6.780824661254883
1712651807.6729953,172032,-5.320695877075195
1712651812.7111177,180224,-7.184920310974121
1712651817.8210018,188416,-4.825237274169922
1712651822.9218018,196608,-4.732972621917725
1712651828.0216017,204800,-6.500850200653076
1712651833.0855815,212992,-6.841085433959961
1712651838.3831637,221184,-4.668257236480713
1712651843.5994716,229376,-5.995905876159668
1712651848.9549222,237568,-5.920093059539795
1712651854.363113,245760,-5.384110450744629
1712651860.005863,253952,-4.918398857116699
1712651865.6543372,262144,-4.993001937866211
1712651871.0546207,270336,-5.245751857757568
1712651876.5545413,278528,-4.499462127685547
1712651881.734994,286720,-5.22136926651001
1712651886.8229702,294912,-4.202409744262695
1712651891.9842327,303104,-4.74694299697876
1712651897.1548188,311296,-4.124743461608887
1712651902.3418043,319488,-6.01753568649292
1712651907.5094817,327680,-4.251550197601318
1712651912.6046884,335872,-5.713116645812988
1712651917.7776585,344064,-4.15868616104126
1712651923.172976,352256,-6.636727809906006
1712651928.455442,360448,-4.2132697105407715
1712651933.5676236,368640,-4.753976345062256
1712651938.7782876,376832,-4.303783893585205
1712651944.1050282,385024,-7.265843868255615
1712651949.4724503,393216,-4.667083740234375
1712651955.2230859,401408,-4.9150390625
1712651960.7506368,409600,-5.941744327545166
1712651966.0901406,417792,-4.940306186676025
1712651971.3816214,425984,-4.126984119415283
1712651976.581616,434176,-5.656009197235107
1712651981.7552419,442368,-4.19297981262207
1712651986.8752348,450560,-4.352667331695557
1712651992.1074176,458752,-4.164384841918945
1712651997.221726,466944,-5.6951446533203125
1712652002.3890305,475136,-5.988982677459717
1712652007.522646,483328,-4.079571723937988
1712652012.6589806,491520,-4.936873435974121
1712652017.8395448,499712,-5.424899101257324
1712652023.440567,507904,-4.300918102264404
1712652029.0658586,516096,-4.917209625244141
1712652034.5597732,524288,-4.410429954528809
1712652039.6884706,532480,-4.26532506942749
1712652044.9557586,540672,-4.0680131912231445
1712652050.2100325,548864,-4.117854595184326
1712652055.5764184,557056,-4.453271389007568
1712652060.7802563,565248,-5.083568572998047
1712652065.861436,573440,-4.240642547607422
1712652070.9650486,581632,-4.239448070526123
1712652076.0660121,589824,-6.4847636222839355
1712652081.6308513,598016,-4.090979099273682
1712652086.8938267,606208,-4.215851783752441
1712652092.0791025,614400,-4.146457672119141
1712652097.3731847,622592,-4.067050933837891
1712652102.7563446,630784,-4.9261674880981445
1712652107.9901447,638976,-4.035920143127441
1712652113.576313,647168,-4.021772861480713
1712652118.9393094,655360,-6.4597883224487305
1712652124.43765,663552,-4.004831314086914
1712652129.5763671,671744,-3.9578659534454346
1712652135.033792,679936,-4.174732208251953
1712652140.8013136,688128,-3.99343204498291
1712652146.1053758,696320,-4.120266914367676
1712652151.6923215,704512,-4.906937599182129
1712652157.0124514,712704,-4.163318157196045
1712652162.0901194,720896,-4.0197882652282715
1712652167.2378588,729088,-4.780101299285889
1712652172.6820998,737280,-4.071154594421387
1712652177.9668503,745472,-4.1043219566345215
1712652183.5289595,753664,-4.311528205871582
1712652189.156708,761856,-4.859156131744385
1712652194.3327465,770048,-4.418839454650879
1712652199.8122673,778240,-3.9951372146606445
1712652204.901835,786432,-4.1088995933532715
1712652210.0584266,794624,-4.264733791351318
1712652215.406846,802816,-4.89169454574585
1712652220.8116379,811008,-3.90885853767395
1712652226.4925883,819200,-4.108786582946777
1712652232.0587606,827392,-4.907766819000244
1712652237.6603463,835584,-5.885079860687256
1712652242.9487293,843776,-4.101938247680664
1712652248.5958283,851968,-3.9019436836242676
1712652253.8289444,860160,-4.08976411819458
1712652259.232186,868352,-4.140546798706055
1712652264.51839,876544,-4.046253204345703
1712652269.6392016,884736,-4.701728820800781
1712652274.7570617,892928,-4.188751220703125
1712652279.9848907,901120,-3.9842281341552734
1712652285.1892743,909312,-4.129909992218018
1712652290.2557125,917504,-4.033535480499268
1712652295.4089534,925696,-4.051405429840088
1712652300.789179,933888,-3.904667615890503
1712652306.3811169,942080,-4.147493362426758
1712652311.7433407,950272,-4.175494194030762
1712652317.2928886,958464,-4.221798896789551
1712652322.9046972,966656,-4.17317008972168
1712652328.1979043,974848,-4.328220367431641
1712652333.9729733,983040,-4.92062520980835
1712652339.6232605,991232,-5.702569484710693
1712652345.1241329,999424,-3.962132453918457
1712652350.7080388,1007616,-4.254745960235596
