Wall time,Step,Value
1712649738.8915308,8192,-82.27474212646484
1712649743.1565392,16384,-71.21192169189453
1712649747.3906362,24576,-63.33842849731445
1712649752.5327826,32768,-52.154605865478516
1712649757.798932,40960,-39.392616271972656
1712649763.0067081,49152,-29.346712112426758
1712649768.5120747,57344,-13.7015962600708
1712649773.740252,65536,-11.765958786010742
1712649779.0065172,73728,-11.592522621154785
1712649784.1901593,81920,-9.922820091247559
1712649789.4662595,90112,-8.983176231384277
1712649794.6402001,98304,-8.042032241821289
1712649799.6736557,106496,-8.750244140625
1712649805.2403648,114688,-6.4070892333984375
1712649810.507446,122880,-6.541168689727783
1712649815.5071592,131072,-6.856672286987305
1712649820.640181,139264,-6.495526313781738
1712649825.957143,147456,-6.073459625244141
1712649831.3661635,155648,-5.471735000610352
1712649836.9406788,163840,-5.205745220184326
1712649842.4405735,172032,-5.183587551116943
1712649847.8186417,180224,-5.317413806915283
1712649853.0906866,188416,-4.8373847007751465
1712649858.040829,196608,-4.60344123840332
1712649863.1910064,204800,-5.264132499694824
1712649868.4907105,212992,-5.34792423248291
1712649873.607132,221184,-4.419363021850586
1712649878.5571976,229376,-4.231153964996338
1712649883.6576173,237568,-5.291444778442383
1712649888.8240354,245760,-5.108194828033447
1712649894.0743182,253952,-5.826580047607422
1712649899.2576256,262144,-4.250610828399658
1712649904.374204,270336,-5.012558937072754
1712649909.707654,278528,-4.995612621307373
1712649915.0246549,286720,-5.145400524139404
1712649920.0578053,294912,-4.291483402252197
1712649925.107904,303104,-6.304561138153076
1712649930.2245102,311296,-4.905910015106201
1712649935.2467358,319488,-4.088779449462891
1712649940.2589383,327680,-3.9746463298797607
1712649945.2745106,335872,-4.794071197509766
1712649950.7909746,344064,-4.870574951171875
1712649956.1745093,352256,-4.054958820343018
1712649961.488,360448,-3.974407196044922
1712649966.541292,368640,-3.8305320739746094
1712649971.791422,376832,-4.852365493774414
1712649976.9913032,385024,-4.620816230773926
1712649982.0410368,393216,-4.850055694580078
1712649987.107646,401408,-4.410797119140625
1712649992.175028,409600,-4.247064590454102
1712649997.3073976,417792,-4.0655293464660645
1712650002.7406921,425984,-4.777502059936523
1712650007.9912455,434176,-3.944899559020996
1712650013.2772381,442368,-4.345451831817627
1712650018.6416137,450560,-4.007787704467773
1712650023.941542,458752,-3.981769561767578
1712650029.091513,466944,-4.747943878173828
1712650034.3435526,475136,-4.197913646697998
1712650039.6413789,483328,-4.355041980743408
1712650044.8915946,491520,-4.208286762237549
1712650050.0740867,499712,-4.94387149810791
1712650055.2480154,507904,-4.826866626739502
1712650060.7746906,516096,-4.059289932250977
1712650066.0305738,524288,-4.971553802490234
1712650071.2577157,532480,-4.9681806564331055
1712650076.4081213,540672,-4.860825538635254
1712650081.4581807,548864,-4.087765216827393
1712650086.6011379,557056,-3.9715139865875244
1712650091.6892898,565248,-5.610811233520508
1712650096.7089202,573440,-4.090345859527588
1712650101.760946,581632,-4.688783168792725
1712650106.8929276,589824,-3.925581932067871
1712650112.026797,598016,-4.000595569610596
1712650117.50818,606208,-5.08083438873291
1712650122.541759,614400,-3.8946428298950195
1712650127.9582205,622592,-3.828723192214966
1712650133.0581038,630784,-3.8773257732391357
1712650138.2291522,638976,-3.896028995513916
1712650143.459752,647168,-3.8725454807281494
1712650148.6583967,655360,-4.427726745605469
1712650153.8147035,663552,-4.2064337730407715
1712650159.1110082,671744,-4.2154364585876465
1712650164.4413815,679936,-4.405833721160889
1712650169.9286172,688128,-4.4823713302612305
1712650174.8914523,696320,-3.95879864692688
1712650179.824899,704512,-3.9525489807128906
1712650184.9373899,712704,-6.284238815307617
1712650190.3084226,720896,-5.2968525886535645
1712650195.5585263,729088,-4.761877059936523
1712650200.872624,737280,-3.831955909729004
1712650206.2747855,745472,-3.9117586612701416
1712650211.4415011,753664,-3.854576826095581
1712650216.4248574,761856,-3.868279457092285
1712650221.4491975,770048,-4.393838405609131
1712650226.691508,778240,-5.534038066864014
1712650231.8252847,786432,-4.036309242248535
1712650237.0750382,794624,-4.480823993682861
1712650242.2752016,802816,-5.231901168823242
1712650247.841827,811008,-4.876030921936035
1712650253.2414684,819200,-3.967432737350464
1712650258.4507866,827392,-3.9363393783569336
1712650263.4583273,835584,-3.8801796436309814
1712650268.5749795,843776,-5.441599369049072
1712650274.0580244,851968,-4.663013935089111
1712650279.2417333,860160,-4.085512638092041
1712650284.668588,868352,-3.9693362712860107
1712650290.021859,876544,-4.6643195152282715
1712650295.1583986,884736,-4.237226486206055
1712650300.3023987,892928,-4.893394470214844
1712650305.6920056,901120,-4.904467582702637
1712650311.5417643,909312,-4.093521595001221
1712650316.6915028,917504,-4.172743797302246
1712650321.8337061,925696,-4.097658634185791
1712650327.2585545,933888,-4.015634059906006
1712650332.5433764,942080,-3.9110605716705322
1712650337.591757,950272,-3.921767234802246
1712650342.6500962,958464,-3.9095401763916016
1712650347.7209156,966656,-3.845306634902954
1712650352.7966766,974848,-3.9175970554351807
1712650357.758562,983040,-3.9278299808502197
1712650363.0417407,991232,-4.063671588897705
1712650368.0748925,999424,-3.953786849975586
1712650373.1421647,1007616,-4.574124813079834
