Wall time,Step,Value
1712651051.2931292,8192,-84.69113159179688
1712651056.9845345,16384,-73.8994369506836
1712651062.4986897,24576,-60.15107727050781
1712651067.8564773,32768,-50.37638854980469
1712651073.4455602,40960,-36.062721252441406
1712651079.2822413,49152,-24.66002655029297
1712651084.8422968,57344,-15.794763565063477
1712651090.2845762,65536,-12.198357582092285
1712651095.4807286,73728,-10.10787582397461
1712651100.8023078,81920,-9.776561737060547
1712651105.985277,90112,-10.449492454528809
1712651111.1763425,98304,-9.383530616760254
1712651116.515364,106496,-7.4228410720825195
1712651121.635116,114688,-7.139753818511963
1712651126.798818,122880,-6.715114593505859
1712651132.2288005,131072,-5.8163957595825195
1712651137.5291445,139264,-5.880417346954346
1712651142.9661036,147456,-7.671048641204834
1712651148.4289775,155648,-5.804832935333252
1712651153.5489163,163840,-7.424436092376709
1712651158.851688,172032,-4.864558696746826
1712651164.6046348,180224,-4.880789279937744
1712651170.2767344,188416,-4.907829761505127
1712651175.608415,196608,-5.75803279876709
1712651181.0049062,204800,-5.311705112457275
1712651186.6065524,212992,-5.141902446746826
1712651192.1046894,221184,-4.5155134201049805
1712651197.5503793,229376,-4.813261032104492
1712651203.0357614,237568,-4.391546726226807
1712651208.3218749,245760,-5.612542152404785
1712651213.9488926,253952,-5.635157585144043
1712651219.065493,262144,-5.079003810882568
1712651224.4521356,270336,-5.10706090927124
1712651229.8261068,278528,-5.049563407897949
1712651235.206645,286720,-4.6340742111206055
1712651240.3135293,294912,-5.596480846405029
1712651245.372991,303104,-4.465664863586426
1712651250.5518,311296,-4.436749458312988
1712651255.644133,319488,-5.007994174957275
1712651260.7397444,327680,-5.247488021850586
1712651265.821034,335872,-4.8264594078063965
1712651270.9322832,344064,-4.155735015869141
1712651276.0063968,352256,-4.867499351501465
1712651281.1631904,360448,-4.355734825134277
1712651286.2990136,368640,-5.281405925750732
1712651291.4727974,376832,-7.343560695648193
1712651296.8986108,385024,-4.310222148895264
1712651302.4321942,393216,-5.365607261657715
1712651307.9056683,401408,-4.254666805267334
1712651313.5989144,409600,-5.124032020568848
1712651318.986213,417792,-5.403725624084473
1712651324.3324027,425984,-4.033708095550537
1712651329.9796278,434176,-5.890648365020752
1712651335.374409,442368,-6.389147758483887
1712651340.7859485,450560,-4.047105312347412
1712651345.9436922,458752,-3.9601781368255615
1712651351.066594,466944,-6.026085376739502
1712651356.307881,475136,-5.771683216094971
1712651361.6349058,483328,-4.605565547943115
1712651367.6464093,491520,-4.195103645324707
1712651376.0000906,499712,-4.853084564208984
1712651381.6673331,507904,-4.166898250579834
1712651386.9184933,516096,-4.918161392211914
1712651392.1163492,524288,-5.3885087966918945
1712651398.0491767,532480,-4.195108413696289
1712651403.6225193,540672,-4.0282392501831055
1712651408.899612,548864,-5.56648063659668
1712651414.0609303,557056,-4.884831428527832
1712651419.2825897,565248,-3.9443159103393555
1712651424.4671574,573440,-4.011176109313965
1712651429.6409824,581632,-4.106512069702148
1712651434.8363974,589824,-4.751540184020996
1712651440.0868003,598016,-5.527706623077393
1712651445.3394976,606208,-7.9460601806640625
1712651450.5995448,614400,-4.079834938049316
1712651456.0264971,622592,-4.062501430511475
1712651461.3173769,630784,-5.63700532913208
1712651466.4544814,638976,-4.00028133392334
1712651471.5938544,647168,-4.192345142364502
1712651476.8043447,655360,-3.925893545150757
1712651481.9238005,663552,-3.86299204826355
1712651487.0499463,671744,-5.636288166046143
1712651492.1752496,679936,-3.818950653076172
1712651497.358298,688128,-4.121982574462891
1712651502.5631685,696320,-4.199601173400879
1712651507.7509496,704512,-4.843332767486572
1712651512.9007869,712704,-5.91322660446167
1712651518.100741,720896,-4.0374650955200195
1712651523.2106624,729088,-4.049816131591797
1712651528.2329247,737280,-4.123900890350342
1712651533.2743104,745472,-4.078459739685059
1712651538.5506406,753664,-3.9323248863220215
1712651543.908252,761856,-4.415146350860596
1712651549.0693252,770048,-4.696918964385986
1712651554.284536,778240,-4.714797019958496
1712651559.4484446,786432,-4.64792537689209
1712651564.5140796,794624,-3.876943826675415
1712651569.5746763,802816,-4.065789222717285
1712651574.8151667,811008,-4.055795192718506
1712651579.8697193,819200,-4.142824649810791
1712651585.0015435,827392,-4.008584022521973
1712651590.0630789,835584,-4.012892246246338
1712651595.2016656,843776,-3.9860949516296387
1712651600.598825,851968,-3.9885642528533936
1712651605.8353684,860160,-3.9871537685394287
1712651610.9220278,868352,-3.9662387371063232
1712651615.9864733,876544,-4.640068531036377
1712651621.192453,884736,-3.9967639446258545
1712651626.3977697,892928,-5.751303672790527
1712651631.48063,901120,-4.791715621948242
1712651636.583682,909312,-3.978332042694092
1712651641.7195203,917504,-4.0733232498168945
1712651646.8256276,925696,-4.741815090179443
1712651651.903432,933888,-3.977936029434204
1712651657.2028024,942080,-4.770893573760986
1712651662.252966,950272,-4.068974494934082
1712651667.3917468,958464,-5.6195878982543945
1712651672.4963489,966656,-4.040160179138184
1712651677.5863094,974848,-4.300785064697266
1712651682.6432164,983040,-4.24236536026001
1712651687.751057,991232,-4.296060562133789
1712651692.885743,999424,-4.140614986419678
1712651698.0206907,1007616,-3.9629406929016113
